features,x08_1,x08_2,x08_3,x08_4,x09_1,x09_2,x09_3,x09_4,x09_5,x14_dm1,x14_dm2,x14_dm3,x14_dm4,x14_dm5,x14_dm6,x16_dm2,x16_dm3,x16_dm4,x16_dm5,x16_dm6,x17_dm1,x17_dm2,x17_dm3,x17_dm4,x17_dm5,x17_dm6,x18_dm1,x18_dm2,x18_dm3,x18_dm4,x18_dm5,x18_dm6,x22_dm1,x22_dm2,x22_dm3,x22_dm4,x22_dm5,x22_dm6,x23_dm1,x23_dm2,x23_dm3,x23_dm4,x23_dm5,x23_dm6,x25_dm1,x25_dm2,x25_dm3,x25_dm4,x25_dm5,x25_dm6,x27_dm1,x27_dm2,x27_dm3,x27_dm4,x27_dm5,x27_dm6,x28_1,x28_2
x08_1,1,-0.022743091,-0.11184214,-0.088608658,0.020649922,0.015640897,-0.057869183,0.034866543,-0.088608658,0.010827342,0.011460388,0.014744943,0.01434338,0.013927807,0.012466244,0.000772098,-0.002780587,-0.003547269,-0.001075559,-0.001075559,0.007537933,0.006800898,0.005567191,0.008886398,0.010114084,0.012297964,-0.003471321,0.004902778,0.003354798,0.002567993,0.002240077,-0.001673418,-0.001386758,-0.000899907,-0.000898134,-0.00094198,-0.00123351,-0.00122008,-0.001018056,-0.00100263,-0.00117241,-0.001201009,-0.001025286,-0.000871662,0.000865259,0.004180274,0.005663997,0.009435327,0.01024042,0.003168412,0.0032039,0.003573296,0.00564452,0.006544035,0.004531946,0.000998384,0.016669208,0.016669208
x08_2,-0.022743091,1,-0.130215741,-0.103165427,0.040484024,0.015241353,0.012540369,-0.013265632,-0.103165427,-0.003249608,-0.003541873,-0.005128944,-0.005708544,-0.006645995,-0.009285726,0.005727899,0.010395113,0.003870446,-0.000827665,-0.000827665,-0.001645064,0.002011653,0.004618443,0.00230749,0.00338872,0.002851231,-0.015997615,-0.017220238,-0.01609698,-0.016671868,-0.017402931,-0.016719883,-0.001636866,-0.001041837,-0.000886959,-0.0011591,-0.00123073,0.008931367,-0.001338115,-0.001313343,-0.001468781,-0.001531268,-0.001265717,-0.001044703,-0.000870038,-0.000928027,-9.34E-06,-0.000128722,0.001433876,0.004588235,-0.00079711,-4.76E-05,-0.001374213,0.002160033,0.001983566,0.003346577,0.007408621,0.007408621
x08_3,-0.11184214,-0.130215741,1,-0.507329556,0.012033583,0.020034526,0.408887686,-0.025255835,-0.507329556,0.029273023,0.029371328,0.024605294,0.018563432,0.013340174,0.007418439,-0.000323554,0.005420922,0.001924882,0.004063457,0.004063457,0.013056787,0.00785218,0.002219421,-0.006336662,-0.011655931,-0.019975995,0.010182049,0.009089995,0.004925908,0.004950652,0.004431107,0.002150198,-3.07E-05,-0.004256865,-0.000635542,0.004564528,0.006855393,0.006177299,-0.000282804,-0.001282267,-0.006741557,-0.006894718,-0.005780563,-0.004808301,0.014500253,0.015667677,0.012688655,0.008773032,0.006533299,0.000841466,0.021972318,0.026226459,0.021852806,0.019513526,0.01825141,0.013776252,0.051415492,0.051415492
x08_4,-0.088608658,-0.103165427,-0.507329556,1,-0.072096396,-0.046955258,-0.47456681,-0.269333554,1,0.010096436,0.007738044,0.010877004,0.026190389,0.042388657,0.057423614,0.002399444,-0.012980759,-0.004749599,-0.016926603,-0.016926603,-0.01809895,-0.009573323,-0.001055732,0.009442954,0.016978848,0.02912299,0.01731281,0.016072969,0.018163379,0.022026313,0.032874601,0.043278865,-0.00465034,0.005266382,0.004810888,-0.001017857,-0.002007427,-0.004736582,0.004864385,0.003899018,0.00822729,0.004027178,0.008808545,0.009742506,0.009876225,0.001966681,0.00328102,0.007518883,0.017987738,0.032831016,0.006005394,-0.003147992,-0.003104404,0.002751491,0.017918904,0.031788909,-0.056181504,-0.056181504
x09_1,0.020649922,0.040484024,0.012033583,-0.072096396,1,-0.008422421,-0.085123616,-0.048310681,-0.072096396,-0.000890074,0.003006523,-0.000785542,-0.006801688,-0.009223625,-0.009598197,-0.002257403,-0.005202956,-0.001410505,0.003809112,0.003809112,0.013780268,0.010442749,0.005183105,0.008833946,0.015943234,0.01393731,-0.004726179,-0.001945399,-0.00253651,-0.004906238,-0.00740196,-0.011545509,-0.001139575,-0.000696043,-0.000731155,-0.000807392,-0.000988564,-0.000900468,-0.000925787,-0.000861894,-0.000999673,-0.00107517,-0.000891318,-0.000754795,-0.001757542,0.002710779,0.002760021,-0.000890717,-0.004184522,-0.005997601,-0.003906634,0.001200308,-0.000584141,-0.006101946,-0.008761913,-0.010582187,0.010148445,0.010148445
x09_2,0.015640897,0.015241353,0.020034526,-0.046955258,-0.008422421,1,-0.055439682,-0.031463993,-0.046955258,0.016656956,0.017275047,0.016895316,0.016702758,0.016731541,0.014786688,0.002605951,0.000643144,0.0020753,0.004043829,0.004043829,0.010758445,0.013282852,0.011464753,0.010767426,0.011654882,0.010719786,0.00127433,0.001282569,0.009004116,0.015154255,0.01722727,0.008061292,-0.000172137,-0.000299539,-0.000500049,-0.000559757,-0.000648421,-0.000435861,-0.000467078,-0.000490728,-0.000559394,-0.00054016,-0.000474437,-0.000393152,0.013557466,0.011344735,0.012633107,0.00938214,0.008105892,0.001690367,0.012723916,0.011278519,0.013921559,0.012865105,0.013625991,0.010700472,0.011043878,0.011043878
x09_3,-0.057869183,0.012540369,0.408887686,-0.47456681,-0.085123616,-0.055439682,1,-0.317999889,-0.47456681,0.051769111,0.041800647,0.035091057,0.028013388,0.013913144,-0.001352471,0.001392902,0.006718161,0.010019751,0.015482673,0.015482673,0.024634589,0.020289702,0.013526459,0.004274773,-0.001093478,-0.012260395,0.041352315,0.034344435,0.028953111,0.029856102,0.020163506,0.008458027,-0.000847447,-0.003966905,-8.04E-05,0.005357907,0.001979954,0.001639809,0.000527249,-0.000646943,-0.006193998,-0.00641629,-0.005411374,-0.004479363,0.032663534,0.033746651,0.028521445,0.026807159,0.019616349,0.00413377,0.039553308,0.041045957,0.036496016,0.032107427,0.021923873,0.009193924,0.062123865,0.062123865
x09_4,0.034866543,-0.013265632,-0.025255835,-0.269333554,-0.048310681,-0.031463993,-0.317999889,1,-0.269333554,0.005689229,0.014906475,0.019717249,0.018421266,0.017962453,0.017722056,-0.010998065,-0.006887537,-0.012022262,-0.008910956,-0.008910956,0.000497531,-0.002436166,-0.001907605,-0.003818524,-0.002066428,0.002003948,0.00998453,0.01508129,0.018252959,0.014356202,0.013180681,0.014766276,0.000657134,-0.002243702,-0.002633047,-0.00261308,0.003794293,0.003520584,-0.0030435,-0.002934083,-0.003488144,-0.003628074,-0.003074106,-0.002502213,-0.003534407,0.002380436,0.010012167,0.011898749,0.008178766,0.00996321,0.006417823,0.013934604,0.016009095,0.018002276,0.019260197,0.016758457,0.007866741,0.007866741
x09_5,-0.088608658,-0.103165427,-0.507329556,1,-0.072096396,-0.046955258,-0.47456681,-0.269333554,1,0.010096436,0.007738044,0.010877004,0.026190389,0.042388657,0.057423614,0.002399444,-0.012980759,-0.004749599,-0.016926603,-0.016926603,-0.01809895,-0.009573323,-0.001055732,0.009442954,0.016978848,0.02912299,0.01731281,0.016072969,0.018163379,0.022026313,0.032874601,0.043278865,-0.00465034,0.005266382,0.004810888,-0.001017857,-0.002007427,-0.004736582,0.004864385,0.003899018,0.00822729,0.004027178,0.008808545,0.009742506,0.009876225,0.001966681,0.00328102,0.007518883,0.017987738,0.032831016,0.006005394,-0.003147992,-0.003104404,0.002751491,0.017918904,0.031788909,-0.056181504,-0.056181504
x14_dm1,0.010827342,-0.003249608,0.029273023,0.010096436,-0.000890074,0.016656956,0.051769111,0.005689229,0.010096436,1,0.592424676,0.582119346,0.498898292,0.486593694,0.464433705,0.007967587,0.046263166,0.012758617,0.00260811,0.00260811,-0.119352905,-0.036935346,-0.025844764,-0.007642516,0.000942925,0.00132443,0.571182761,0.311595924,0.356345419,0.31343209,0.323284109,0.308946768,0.006433244,-0.003677376,0.007501376,0.004922205,-0.000509566,0.00224754,0.001472226,-0.002443896,-0.004339371,-0.004405018,-0.004461716,-0.003474403,0.471240261,0.324328503,0.348966703,0.316856326,0.319763922,0.30255796,0.740150563,0.442323237,0.467845194,0.407741376,0.405181427,0.376862652,0.30871811,0.30871811
