Features,Significant,Date,,
x14_dm1,42.008,Oct-18,,
x14_dm2,26.82,Oct-18,,
x14_dm3,25.787,Oct-18,,
x14_dm5,23.467,Oct-18,,
x17_dm1,22.604,Oct-18,,
x14_dm4,21.885,Oct-18,,
x14_dm6,19.389,Oct-18,,
x27_dm3,17.983,Oct-18,,
x05,17.723,Oct-18,,
x27_dm1,16.596,Oct-18,,
x18_dm1,16.281,Oct-18,,
x27_dm6,15.497,Oct-18,,
x19_dm2,15.472,Oct-18,,
x27_dm2,15.352,Oct-18,,
x19_dm1,14.755,Oct-18,,
x27_dm5,14.618,Oct-18,,
x27_dm4,14.482,Oct-18,,
x20_dm2,14.117,Oct-18,,
x20_dm6,14.059,Oct-18,,
x04,13.916,Oct-18,,
x20_dm1,13.516,Oct-18,,
x07,13.424,Oct-18,,
x20_dm3,13.037,Oct-18,,
x19_dm3,12.989,Oct-18,,
x25_dm1,12.451,Oct-18,,
x20_dm4,11.774,Oct-18,,
x13,11.606,Oct-18,,
x19_dm6,11.063,Oct-18,,
x20_dm5,10.544,Oct-18,,
x25_dm4,10.045,Oct-18,,
x19_dm4,9.967,Oct-18,,
x25_dm2,9.662,Oct-18,,
x26_dm2,9.19,Oct-18,,
x26_dm4,9.026,Oct-18,,
x25_dm6,8.793,Oct-18,,
x19_dm5,8.503,Oct-18,,
x06,8.364,Oct-18,,
x25_dm3,8.201,Oct-18,,
x12,8.14,Oct-18,,
x25_dm5,8.135,Oct-18,,
x26_dm1,7.878,Oct-18,,
x26_dm6,7.666,Oct-18,,
x26_dm5,7.272,Oct-18,,
x26_dm3,5.775,Oct-18,,
x14_dm1,41.68965197,Nov-18,,
x14_dm2,26.91523561,Nov-18,,
x14_dm3,26.00343712,Nov-18,,
x14_dm5,23.55001896,Nov-18,,
x17_dm1,22.1857499,Nov-18,,
x14_dm4,21.15577634,Nov-18,,
x14_dm6,19.77582417,Nov-18,,
x27_dm3,17.51038605,Nov-18,,
x05,17.24676463,Nov-18,,
x27_dm1,16.44345505,Nov-18,,
x18_dm1,15.93791375,Nov-18,,
x27_dm6,14.76592246,Nov-18,,
x19_dm2,15.7578906,Nov-18,,
x27_dm2,16.00942116,Nov-18,,
x19_dm1,14.76271903,Nov-18,,
x27_dm5,14.07703108,Nov-18,,
x27_dm4,14.1733515,Nov-18,,
x20_dm2,13.7709287,Nov-18,,
x20_dm6,13.76116465,Nov-18,,
x04,14.0394611,Nov-18,,
x20_dm1,13.43893318,Nov-18,,
x07,13.11653803,Nov-18,,
x20_dm3,12.92799008,Nov-18,,
x19_dm3,12.75754684,Nov-18,,
x25_dm1,12.37963965,Nov-18,,
x20_dm4,11.58729122,Nov-18,,
x13,11.64575879,Nov-18,,
x19_dm6,11.63256567,Nov-18,,
x20_dm5,9.845746145,Nov-18,,
x25_dm4,10.59348463,Nov-18,,
x19_dm4,9.932970161,Nov-18,,
x25_dm2,10.22202808,Nov-18,,
x26_dm2,10.08869141,Nov-18,,
x26_dm4,8.776759435,Nov-18,,
x25_dm6,8.914814836,Nov-18,,
x19_dm5,8.580366791,Nov-18,,
x06,8.744770131,Nov-18,,
x25_dm3,7.831560054,Nov-18,,
x12,7.760389702,Nov-18,,
x25_dm5,8.59967894,Nov-18,,
x26_dm1,7.903599622,Nov-18,,
x26_dm6,7.633595884,Nov-18,,
x26_dm5,7.527478877,Nov-18,,
x26_dm3,5.475307185,Nov-18,,
x14_dm1,41.1440029,Dec-18,,
x14_dm2,26.22392269,Dec-18,,
x14_dm3,25.61827353,Dec-18,,
x14_dm5,23.43071156,Dec-18,,
x17_dm1,22.35619224,Dec-18,,
x14_dm4,20.91349502,Dec-18,,
x14_dm6,19.6029259,Dec-18,,
x27_dm3,17.75262386,Dec-18,,
x05,17.6831555,Dec-18,,
x27_dm1,16.32680472,Dec-18,,
x18_dm1,15.74617348,Dec-18,,
x27_dm6,15.17432023,Dec-18,,
x19_dm2,15.05611569,Dec-18,,
x27_dm2,15.50056052,Dec-18,,
x19_dm1,14.5811735,Dec-18,,
x27_dm5,13.98183465,Dec-18,,
x27_dm4,14.4600319,Dec-18,,
x20_dm2,13.88759352,Dec-18,,
x20_dm6,14.145051,Dec-18,,
x04,14.67872863,Dec-18,,
x20_dm1,12.96849535,Dec-18,,
x07,13.0084654,Dec-18,,
x20_dm3,13.18804498,Dec-18,,
x19_dm3,12.65183876,Dec-18,,
x25_dm1,11.78258032,Dec-18,,
x20_dm4,10.99322881,Dec-18,,
x13,11.08733277,Dec-18,,
x19_dm6,11.89927521,Dec-18,,
x20_dm5,10.47589139,Dec-18,,
x25_dm4,10.77151301,Dec-18,,
x19_dm4,9.603313465,Dec-18,,
x25_dm2,10.78866577,Dec-18,,
x26_dm2,10.53765465,Dec-18,,
x26_dm4,9.191804332,Dec-18,,
x25_dm6,9.648161855,Dec-18,,
x19_dm5,8.807733662,Dec-18,,
x06,9.227710133,Dec-18,,
x25_dm3,8.18101095,Dec-18,,
x12,7.741840002,Dec-18,,
x25_dm5,8.812462989,Dec-18,,
x26_dm1,8.470314514,Dec-18,,
x26_dm6,7.930517271,Dec-18,,
x26_dm5,8.427890424,Dec-18,,
x26_dm3,5.961168654,Dec-18,,
x14_dm1,41.43623131,Jan-19,,
x14_dm2,26.85318768,Jan-19,,
x14_dm3,26.39365239,Jan-19,,
x14_dm5,23.65383366,Jan-19,,
x17_dm1,22.5682428,Jan-19,,
x14_dm4,21.39261014,Jan-19,,
x14_dm6,19.56645886,Jan-19,,
x27_dm3,17.7372526,Jan-19,,
x05,17.84895105,Jan-19,,
x27_dm1,15.98745888,Jan-19,,
x18_dm1,15.98179536,Jan-19,,
x27_dm6,15.72863165,Jan-19,,
x19_dm2,14.72949495,Jan-19,,
x27_dm2,16.11796758,Jan-19,,
x19_dm1,15.0286299,Jan-19,,
x27_dm5,13.82401828,Jan-19,,
x27_dm4,15.05304496,Jan-19,,
x20_dm2,14.00340233,Jan-19,,
x20_dm6,14.53366558,Jan-19,,
x04,15.56381678,Jan-19,,
x20_dm1,13.24277658,Jan-19,,
x07,12.86163824,Jan-19,,
x20_dm3,13.45587842,Jan-19,,
x19_dm3,12.80196143,Jan-19,,
x25_dm1,11.62714498,Jan-19,,
x20_dm4,10.4673087,Jan-19,,
x13,11.38615087,Jan-19,,
x19_dm6,11.51442176,Jan-19,,
x20_dm5,10.14859001,Jan-19,,
x25_dm4,10.28674121,Jan-19,,
x19_dm4,10.17161821,Jan-19,,
x25_dm2,10.18031823,Jan-19,,
x26_dm2,11.38029569,Jan-19,,
x26_dm4,8.85322147,Jan-19,,
x25_dm6,9.752893143,Jan-19,,
x19_dm5,8.875411413,Jan-19,,
x06,9.183562771,Jan-19,,
x25_dm3,7.968283725,Jan-19,,
x12,7.552316237,Jan-19,,
x25_dm5,8.438768579,Jan-19,,
x26_dm1,8.540105003,Jan-19,,
x26_dm6,7.237153936,Jan-19,,
x26_dm5,8.095389512,Jan-19,,
x26_dm3,6.093845595,Jan-19,,
x14_dm1,41.48379785,Feb-19,,
x14_dm2,27.54888719,Feb-19,,
x14_dm3,25.82856976,Feb-19,,
x14_dm5,23.69456528,Feb-19,,
x17_dm1,23.07529682,Feb-19,,
x14_dm4,21.72004222,Feb-19,,
x14_dm6,18.85760686,Feb-19,,
x27_dm3,16.83791059,Feb-19,,
x05,18.16081736,Feb-19,,
x27_dm1,16.46611799,Feb-19,,
x18_dm1,16.15713201,Feb-19,,
x27_dm6,15.32024985,Feb-19,,
x19_dm2,15.25888327,Feb-19,,
x27_dm2,16.08311123,Feb-19,,
x19_dm1,14.68230795,Feb-19,,
x27_dm5,13.29964566,Feb-19,,
x27_dm4,15.75514767,Feb-19,,
x20_dm2,13.14548658,Feb-19,,
x20_dm6,14.30409603,Feb-19,,
x04,15.13501159,Feb-19,,
x20_dm1,12.84267747,Feb-19,,
x07,12.92226795,Feb-19,,
x20_dm3,14.26708293,Feb-19,,
x19_dm3,12.88393559,Feb-19,,
x25_dm1,11.6567382,Feb-19,,
x20_dm4,10.24002355,Feb-19,,
x13,11.05718573,Feb-19,,
x19_dm6,11.70105063,Feb-19,,
x20_dm5,10.03128189,Feb-19,,
x25_dm4,10.25723634,Feb-19,,
x19_dm4,10.37367492,Feb-19,,
x25_dm2,9.587157395,Feb-19,,
x26_dm2,11.46561104,Feb-19,,
x26_dm4,9.480247559,Feb-19,,
x25_dm6,9.796440625,Feb-19,,
x19_dm5,9.233094146,Feb-19,,
x06,8.499196207,Feb-19,,
x25_dm3,7.736439876,Feb-19,,
x12,7.455825037,Feb-19,,
x25_dm5,8.062444489,Feb-19,,
x26_dm1,8.239922719,Feb-19,,
x26_dm6,7.55496037,Feb-19,,
x26_dm5,7.263327965,Feb-19,,
x26_dm3,6.433397423,Feb-19,,
